time [s],adc_buf[0],
3.05259,2040,
3.05457,2036,
3.05657,2035,
3.05859,2038,
3.06058,2040,
3.06257,2039,
3.06457,2042,
3.06657,2039,
3.06857,2040,
3.07057,2037,
3.07257,2035,
3.07459,2042,
3.07658,2039,
3.07864,2039,
3.0806,2041,
3.08216,2036,
3.08415,2041,
3.08616,2037,
3.08757,2042,
3.08957,2032,
3.09148,2049,
3.09358,2035,
3.09558,2039,
3.09757,2043,
3.09959,2042,
3.10158,2041,
3.10357,2028,
3.10558,2032,
3.10757,2034,
3.10958,2043,
3.11185,2044,
3.11417,2040,
3.11576,2043,
3.11816,2041,
3.12017,2039,
3.12216,2040,
3.12459,2038,
3.12648,2037,
3.12817,2044,
3.13016,2035,
3.13216,2042,
3.13417,2036,
3.13616,2038,
3.13815,2038,
3.14018,2036,
3.14176,2041,
3.14353,2038,
3.14504,2038,
3.14716,2042,
3.14916,2037,
3.15115,2040,
3.1526,2038,
3.15416,2043,
3.15592,1986,
3.15758,2038,
3.15958,2040,
3.16158,2039,
3.16357,2040,
3.16559,2040,
3.16716,2037,
3.16916,2044,
3.17117,2038,
3.17317,2043,
3.17459,2043,
3.17658,2043,
3.17858,2041,
3.18058,2042,
3.1826,2039,
3.18447,2037,
3.18559,2047,
3.18758,2036,
3.19019,2041,
3.19158,2043,
3.19358,2038,
3.19558,2047,
3.19758,2041,
3.19958,2040,
3.20115,2037,
3.20315,2041,
3.20517,2034,
3.20716,2041,
3.20916,2039,
3.21116,2059,
3.21315,2043,
3.21476,2039,
3.21617,2037,
3.21816,2037,
3.2202,2038,
3.22216,2039,
3.22415,2041,
3.22569,2042,
3.22757,2041,
3.22916,2039,
3.23115,2041,
3.23315,2045,
3.23516,2041,
3.23717,2042,
3.23916,2034,
3.24116,2038,
3.24317,2043,
3.24516,2042,
3.24718,2040,
3.24882,2037,
3.25116,2040,
3.25359,2041,
3.25559,2029,
3.25758,2039,
3.25958,2041,
3.26158,2039,
3.26316,2030,
3.26516,2040,
3.26716,2045,
3.26859,2044,
3.27059,2040,
3.27257,2042,
3.27459,2023,
3.27659,2043,
3.27847,2040,
3.2806,2043,
3.28259,2043,
3.28458,2038,
3.28659,2037,
3.28857,2041,
3.2904,2034,
3.29218,2045,
3.29417,2041,
3.29616,2045,
3.29815,2039,
3.30018,2040,
3.30216,2038,
3.30415,2041,
3.30616,2041,
3.30818,2040,
3.31018,2042,
3.31219,2045,
3.31417,2040,
3.31617,2041,
3.31817,2041,
3.32016,2041,
3.32217,2041,
3.32419,2044,
3.32619,2046,
3.32816,2041,
3.33016,2039,
3.33216,2043,
3.33418,2041,
3.33616,2043,
3.33815,2045,
3.34017,2037,
3.34217,2039,
3.34418,2038,
3.34584,2040,
3.34858,2038,
3.35046,2037,
3.35258,2040,
3.35459,2050,
3.35658,2037,
3.35846,2040,
3.36058,2038,
3.36258,2039,
3.36458,2041,
3.3666,2038,
3.36858,2036,
3.37059,2038,
3.37258,2039,
3.3746,2042,
3.37617,2038,
3.37816,2040,
3.37958,2041,
3.38158,2038,
3.38358,2041,
3.3856,2029,
3.38717,2045,
3.38921,2036,
3.39159,2047,
3.39359,2028,
3.39559,2040,
3.39758,2042,
3.39958,2037,
3.4016,2038,
3.40358,2038,
3.40546,2046,
3.40717,2045,
3.40917,2043,
3.41116,2041,
3.41316,2042,
3.41518,2040,
3.41758,2036,
3.41958,2037,
3.42157,2038,
3.42317,2037,
3.42517,2040,
3.4272,2038,
3.42917,2032,
3.43116,2039,
3.43317,2041,
3.43516,2037,
3.43718,2041,
3.43876,2039,
3.44058,2039,
3.44253,2037,
3.44416,2037,
3.44617,2036,
3.44816,2037,
3.45016,2045,
3.45216,2047,
3.45389,2042,
3.45547,2038,
3.45717,2040,
3.45918,2039,
3.46116,2042,
3.46317,2041,
3.46517,2038,
3.46659,2042,
3.46858,2042,
3.47058,2039,
3.47258,2034,
3.47459,2034,
3.47658,2038,
3.47859,2047,
3.48062,2040,
3.48318,2036,
3.48517,2041,
3.48758,2045,
3.48959,2037,
