time [s],filter_volt,
12.8745,1.36883,
12.8765,1.37087,
12.8785,1.3711,
12.8805,1.37501,
12.8825,1.37402,
12.8845,1.37355,
12.8869,1.374,
12.8889,1.3722,
12.8909,1.37237,
12.8929,1.37212,
12.8949,1.37152,
12.8969,1.37447,
12.8989,1.37544,
12.9009,1.37525,
12.9029,1.37288,
12.9049,1.36813,
12.9069,1.37062,
12.9089,1.37055,
12.9109,1.37434,
12.9129,1.37561,
12.9148,1.37532,
12.9169,1.37534,
12.9189,1.37348,
12.9209,1.37402,
12.9229,1.37169,
12.9249,1.37384,
12.9269,1.37535,
12.9289,1.37546,
12.9308,1.37834,
12.9329,1.3727,
12.9348,1.37103,
12.9369,1.37078,
12.9389,1.37105,
12.9409,1.37411,
12.9429,1.37258,
12.9449,1.3752,
12.9469,1.37451,
12.9485,1.37407,
12.9505,1.37328,
12.9525,1.37209,
12.9545,1.37512,
12.9565,1.3753,
12.9585,1.37948,
12.9605,1.37951,
12.9625,1.37628,
12.9645,1.37514,
12.9665,1.36969,
12.9686,1.37275,
12.9709,1.37463,
12.9725,1.37471,
12.9745,1.37582,
12.9765,1.37379,
12.9785,1.37345,
12.9805,1.37171,
12.9825,1.37273,
12.9845,1.37218,
12.9865,1.3718,
12.9885,1.37503,
12.9905,1.37534,
12.9925,1.3751,
12.9945,1.37194,
12.9965,1.36725,
12.9985,1.37038,
12.9999,1.37108,
13.0025,1.37767,
13.0045,1.37524,
13.0065,1.37391,
13.0085,1.37332,
13.0105,1.37054,
13.0125,1.37019,
13.0145,1.36804,
13.0165,1.36903,
13.0181,1.37185,
13.0199,1.37361,
13.0219,1.37543,
13.0239,1.37078,
13.0259,1.37106,
13.0275,1.36625,
13.0295,1.36918,
13.0315,1.37083,
13.0335,1.37182,
13.0349,1.3733,
13.0369,1.37239,
13.0389,1.37345,
13.0409,1.3706,
13.0429,1.37395,
13.0449,1.37211,
13.0469,1.3724,
13.0489,1.37562,
13.0509,1.3764,
13.0529,1.37731,
13.0549,1.37222,
13.0569,1.36876,
13.0589,1.37189,
13.0609,1.37366,
13.0629,1.37768,
13.0649,1.37671,
13.0669,1.37732,
13.0689,1.37562,
13.0709,1.37118,
13.0729,1.37565,
13.0749,1.3734,
13.0769,1.37692,
13.0789,1.37889,
13.0809,1.37895,
13.0825,1.37812,
13.0845,1.37285,
13.0859,1.37266,
13.0879,1.36934,
13.0899,1.37338,
13.0919,1.37515,
13.0939,1.37772,
13.0959,1.377,
13.0979,1.37521,
13.0999,1.37495,
13.1019,1.37207,
13.1039,1.37566,
13.1059,1.37436,
13.1079,1.37448,
13.1099,1.37676,
13.1119,1.37683,
13.1139,1.37766,
13.1155,1.37225,
13.1175,1.37254,
13.1195,1.36914,
13.1215,1.37235,
13.1235,1.37448,
13.1255,1.37323,
13.1275,1.37489,
13.1295,1.37317,
13.1315,1.37069,
13.1335,1.3716,
13.1352,1.37277,
13.1369,1.37479,
13.1389,1.37453,
13.1409,1.37613,
13.1429,1.37637,
13.1449,1.37248,
13.1469,1.37136,
13.1489,1.36762,
13.1509,1.37119,
13.1529,1.37231,
13.1549,1.37413,
13.1569,1.37229,
13.1589,1.37022,
13.1609,1.37092,
13.1629,1.36914,
13.1649,1.37358,
13.1669,1.37364,
13.1689,1.37168,
13.1709,1.37394,
13.1729,1.37344,
13.1749,1.37307,
13.1769,1.36809,
13.1789,1.36661,
13.1808,1.36937,
13.1825,1.36966,
13.1846,1.37337,
13.1865,1.36987,
