time [s],filter_volt,voltage,
12.5359,1.41696,1.48332,
12.5379,1.41728,1.27526,
12.5399,1.41476,1.29272,
12.5419,1.41126,1.25635,
12.5439,1.40899,1.29054,
12.5459,1.40593,1.1254,
12.5479,1.40769,1.32764,
12.5499,1.40576,1.28326,
12.5519,1.40628,1.26507,
12.5539,1.40393,1.26507,
12.5559,1.39794,1.1043,
12.5579,1.39818,1.26798,
12.5599,1.39364,1.19596,
12.5619,1.3969,1.29126,
12.5639,1.39756,1.27744,
12.5659,1.39628,1.27453,
12.5679,1.39433,1.22579,
12.5699,1.39045,1.16177,
12.5719,1.38897,1.1414,
12.5739,1.38694,1.27235,
12.5759,1.38869,1.2869,
12.5779,1.39061,1.35965,
12.5799,1.38888,1.16541,
12.5819,1.38961,1.25416,
12.5839,1.38852,1.27162,
12.5858,1.38593,1.2789,
12.5879,1.38515,1.30436,
12.5899,1.38163,1.12249,
12.5919,1.38336,1.21051,
12.5939,1.3839,1.28181,
12.5959,1.38576,1.30654,
12.5979,1.38212,1.27526,
12.5999,1.37767,1.15232,
12.6019,1.37788,1.23525,
12.6039,1.37433,1.2367,
12.6059,1.37871,1.31382,
12.6079,1.37778,1.25998,
12.6099,1.37757,1.2658,
12.6119,1.37784,1.21997,
12.6139,1.37587,1.17778,
12.6159,1.37673,1.27526,
12.6185,1.37361,1.31309,
12.6205,1.37281,1.13195,
12.6225,1.37583,1.27817,
12.6245,1.37693,1.33564,
12.6265,1.37815,1.308,
12.6285,1.37348,1.27599,
12.6305,1.3693,1.13195,
12.6319,1.37102,1.55388,
12.6339,1.37039,1.15814,
12.6349,1.37429,1.32618,
12.6369,1.37436,1.28399,
12.6389,1.37584,1.37638,
12.6409,1.37393,1.16105,
12.6429,1.37517,1.24907,
12.6449,1.37346,1.26507,
12.6469,1.3716,1.28617,
12.6489,1.37113,1.31091,
12.6509,1.3698,1.12831,
12.6529,1.37306,1.28617,
12.6549,1.37396,1.27744,
12.6569,1.37551,1.30654,
12.6589,1.37242,1.27962,
12.6609,1.36848,1.13558,
12.6629,1.37006,1.23525,
12.6649,1.3692,1.23816,
12.6669,1.37257,1.31236,
12.6689,1.3718,1.49132,
12.6709,1.37173,1.25853,
12.6729,1.37123,1.22506,
12.6749,1.37011,1.17341,
12.6769,1.37151,1.27526,
12.6789,1.3667,1.22215,
12.6809,1.36998,1.25344,
12.6825,1.37203,1.30581,
12.6845,1.3734,1.34582,
12.6865,1.37425,1.25489,
12.6885,1.37224,1.12613,
12.6905,1.37272,1.26435,
12.6925,1.37031,1.28763,
12.6945,1.37071,1.30509,
12.6965,1.37281,1.30945,
12.6985,1.37245,1.13849,
12.7005,1.37537,1.28981,
12.7025,1.37472,1.27744,
12.7045,1.37383,1.23816,
12.7065,1.37289,1.29199,
12.7085,1.36899,1.05629,
12.7105,1.37222,1.31891,
12.7125,1.37092,1.22288,
12.7142,1.37331,1.24907,
12.7165,1.37424,1.25562,
12.7185,1.37305,1.21488,
12.7205,1.37223,1.20397,
12.7225,1.36801,1.13849,
12.7245,1.36918,1.24034,
12.7265,1.36897,1.27671,
12.7285,1.3715,1.28472,
12.7305,1.3727,1.35674,
12.7325,1.37209,1.14359,
12.7345,1.37311,1.25198,
12.7365,1.37185,1.2578,
12.7385,1.37042,1.28908,
12.7405,1.37028,1.3029,
12.7425,1.36626,0.831501,
12.7445,1.36939,1.28399,
12.7465,1.37052,1.27962,
12.7485,1.37235,1.30872,
12.7505,1.36899,1.27817,
12.7525,1.36475,1.12758,
12.7545,1.36659,1.23234,
12.7565,1.36628,1.23307,
12.7583,1.37085,1.31018,
12.7606,1.37095,1.24252,
12.7625,1.37099,1.23088,
12.7645,1.37149,1.25344,
12.7665,1.37035,1.18069,
12.7685,1.37132,1.26726,
12.7705,1.36689,1.22943,
12.7725,1.36957,1.25562,
12.7745,1.37052,1.29927,
12.7765,1.37303,1.23598,
12.7782,1.3755,1.27599,
12.7799,1.37172,1.08757,
12.7815,1.3731,1.26216,
12.7835,1.36769,1.14359,
12.7855,1.36972,1.25853,
12.7875,1.36933,1.27817,
12.7895,1.37217,1.28326,
12.7915,1.37355,1.35164,
12.7935,1.3732,1.14941,
12.7955,1.37384,1.25416,
12.7975,1.3731,1.27089,
12.7995,1.37169,1.27817,
12.8009,1.36966,1.50951,
12.8028,1.37298,1.25198,
12.8049,1.37378,1.30509,
12.8069,1.3745,1.20251,
12.8089,1.37665,1.30581,
12.8109,1.37356,1.22797,
12.8129,1.37215,1.24907,
12.8145,1.37004,1.5437,
12.8165,1.37116,1.33346,
12.8185,1.3725,1.30145,
12.8209,1.37218,1.22725,
12.8229,1.37546,1.29054,
12.8251,1.37557,1.29345,
12.8269,1.37357,1.20397,
12.8289,1.37366,1.19742,
12.8308,1.37245,1.20178,
12.8329,1.37642,1.30872,
12.8349,1.37408,1.27671,
12.8369,1.37555,1.29417,
12.8389,1.37639,1.26216,
12.8409,1.37376,1.12176,
12.8429,1.37384,1.25198,
12.8449,1.37051,1.28181,
12.8469,1.37118,1.26726,
12.8489,1.37378,1.3029,
12.8509,1.37193,1.13631,
12.8529,1.37434,1.51387,
12.8549,1.3737,1.27089,
12.8569,1.37265,1.24762,
12.8589,1.37159,1.27671,
12.8609,1.36758,1.02719,
12.8629,1.37181,1.33782,
12.8649,1.37267,1.23088,
12.8669,1.37576,1.27817,
12.8689,1.37617,1.26144,
12.8709,1.3748,1.20251,
12.8725,1.37385,1.56116,
12.8745,1.36883,1.11522,
12.8765,1.37087,1.23525,
12.8785,1.3711,1.52042,
12.8805,1.37501,1.31745,
12.8825,1.37402,1.55825,
12.8845,1.37355,1.25853,
12.8869,1.374,1.24398,
12.8889,1.3722,1.26798,
12.8909,1.37237,1.27308,
12.8929,1.37212,1.31818,
12.8949,1.37152,1.13631,
12.8969,1.37447,1.28326,
12.8989,1.37544,1.27962,
12.9009,1.37525,1.29417,
12.9029,1.37288,1.27744,
12.9049,1.36813,1.10794,
12.9069,1.37062,1.24107,
12.9089,1.37055,1.2498,
12.9109,1.37434,1.31818,
12.9129,1.37561,1.26144,
12.9148,1.37532,1.25053,
12.9169,1.37534,1.19305,
12.9189,1.37348,1.1836,
12.9209,1.37402,1.27744,
12.9229,1.37169,1.23088,
12.9249,1.37384,1.25271,
12.9269,1.37535,1.31745,
12.9289,1.37546,1.14577,
12.9308,1.37834,1.26726,
12.9329,1.3727,1.2287,
