time [s],adc_buf[0],
13.1905,1573,
13.1925,1716,
13.1945,1742,
13.1965,1763,
13.1985,1863,
13.2005,1600,
13.2025,1747,
13.2045,1739,
13.2065,1756,
13.2085,1782,
13.2105,1515,
13.2125,1773,
13.2145,1754,
13.2165,1806,
13.2182,1752,
13.2205,1730,
13.2225,1673,
13.2245,1684,
13.2265,1820,
13.2285,1730,
13.2305,1733,
13.2325,1702,
13.2345,1620,
13.2369,2125,
13.2389,1786,
13.2409,1539,
13.2429,1777,
13.2449,1753,
13.2469,1801,
13.2489,1763,
13.2509,1562,
13.2523,1700,
13.2545,1576,
13.2565,1768,
13.2585,1678,
13.2605,1753,
13.2625,1867,
13.2642,1646,
13.2659,1657,
13.2679,1473,
13.2695,1791,
13.2715,1570,
13.2735,1817,
13.2755,1760,
13.2769,1786,
13.2789,1680,
13.2805,1720,
13.2819,1813,
13.2835,1779,
13.2855,1721,
13.2875,1769,
13.2895,1731,
13.2916,1954,
13.2939,1980,
13.2959,1738,
13.2978,1761,
13.2992,1826,
13.3005,2324,
13.3026,2221,
13.3043,2261,
13.3059,2149,
13.3075,2167,
13.3095,2499,
13.3115,2462,
13.3133,2098,
13.3149,2084,
13.3169,1998,
13.3189,2026,
13.3209,2100,
13.3229,1801,
13.3249,1922,
13.3269,1818,
13.3289,1893,
13.3309,1905,
13.3329,1956,
13.3349,1975,
13.3369,2308,
13.3389,1878,
13.3409,1930,
13.3429,2010,
13.3449,1680,
13.3469,1773,
13.3489,1815,
13.3509,1930,
13.3529,1664,
13.3549,1874,
13.3565,1849,
13.3585,1782,
13.3605,1566,
13.3625,1876,
13.3645,1584,
13.3665,1823,
13.3685,1742,
13.3705,1740,
13.3725,1785,
13.3745,1819,
13.3765,1803,
13.3782,1810,
13.3805,2044,
13.3822,2159,
13.3839,2157,
13.3859,1823,
13.3879,1703,
13.3895,1773,
13.3912,1639,
13.3929,1725,
13.3945,1748,
13.3965,1747,
13.3985,1762,
13.4005,1738,
13.4025,1712,
13.4045,1770,
13.4065,1760,
13.4085,1735,
13.4105,1747,
13.4126,1764,
13.4149,1611,
13.4165,1622,
13.4185,1826,
13.4205,1760,
13.4225,1703,
13.4245,1797,
13.4265,1698,
13.4285,1791,
13.4305,1629,
13.4325,1779,
13.4345,1447,
13.4365,1816,
13.4385,1488,
13.4405,1759,
13.4425,1574,
13.4445,1700,
13.4461,1558,
13.4479,1681,
13.4499,1694,
13.4519,1746,
13.4539,1716,
13.4559,1735,
13.4579,2023,
13.4599,1768,
13.4619,1714,
13.4639,1747,
13.4659,1744,
13.4679,1750,
13.4705,1524,
13.4725,1717,
13.4745,1555,
13.4765,1749,
13.4781,1573,
13.4799,2078,
13.4819,1446,
13.4839,1831,
13.4859,1482,
13.4875,1762,
13.4895,1726,
13.4919,2100,
13.4939,1523,
13.4959,1694,
13.4979,1555,
13.4999,1585,
13.5019,1666,
13.5039,1681,
13.5059,1562,
13.5079,1662,
13.5099,1588,
13.5119,1647,
13.5139,1631,
13.5159,1716,
13.5179,1516,
13.5199,1799,
13.5219,1574,
13.5239,2101,
13.5265,1583,
13.5282,1785,
13.5305,1924,
13.5325,1742,
13.5345,2148,
13.5375,1707,
13.5395,2030,
13.5415,1471,
13.5435,1773,
13.5455,1481,
13.5475,1681,
13.5495,1630,
13.5515,1558,
13.5539,1946,
13.5559,1640,
13.5579,1693,
13.5599,1683,
13.5619,1719,
13.5639,1728,
13.5659,2144,
13.5679,1757,
13.5699,1698,
13.5719,1806,
13.5739,1719,
13.5759,1770,
13.5779,1645,
13.5799,1748,
13.5819,1710,
13.5839,1726,
13.5859,1677,
13.5879,1772,
13.5899,1626,
13.5919,1731,
13.5939,1723,
13.5959,1727,
13.5979,1747,
13.5995,1791,
13.6015,1636,
13.6035,2081,
13.6055,1698,
13.6075,1646,
13.6095,1716,
13.6115,1695,
13.6135,2017,
13.6155,1753,
13.6175,1704,
13.6195,1716,
13.6215,1720,
13.6235,1781,
13.6255,1644,
13.6275,1771,
13.6295,1711,
13.6316,1756,
13.6335,2108,
13.6353,1760,
13.6375,1638,
13.6395,2073,
13.6415,1715,
13.6435,1725,
13.6455,1730,
13.6475,1769,
13.6495,1687,
13.6515,1719,
13.6539,2264,
13.6559,1735,
13.6579,1721,
13.6599,1741,
13.6619,1759,
13.6639,1704,
13.6659,2107,
13.6679,2058,
13.6699,1754,
13.6719,1689,
13.6739,1775,
13.6758,1699,
13.6779,1762,
13.6799,1662,
13.6819,1762,
13.6839,1478,
13.6861,1828,
13.6879,1889,
13.6899,1781,
13.6919,1531,
13.6939,1750,
13.6959,1467,
13.6979,1754,
13.6999,1490,
13.702,2020,
13.7039,1997,
13.7059,1628,
13.7079,1595,
13.7099,1587,
13.7119,1608,
13.7139,1596,
13.7155,1643,
13.7175,2068,
13.7189,1980,
13.7209,1698,
13.7229,1717,
13.7249,1735,
13.7269,1692,
13.7289,1709,
13.7308,1754,
13.7325,1690,
13.7345,2098,
13.7365,2133,
13.7385,2094,
13.7405,2083,
13.7425,2154,
13.7445,2041,
13.7465,2068,
13.7482,2150,
13.7499,1723,
13.7519,1740,
13.7539,2099,
13.7559,1642,
13.7579,1684,
13.7595,1665,
13.7615,1968,
13.7635,2059,
13.7655,2026,
13.7679,1651,
13.7699,1749,
13.7719,1698,
